Time t / s,Magn. flux density B_A1 / mT,Voltage U_B2 / V,Voltage U_B1 / V,Current I_A1 / A
0,-197,-0.00105,0.14,0.002
0.01,-197,-0.00135,0.14,0.002
0.02,-197.5,-0.0012,0.14,0.002
0.03,-197,-0.00135,0.14,0.002
0.04,-197,-0.0012,0.14,0.002
0.05,-197,-0.0015,0.14,0.002
0.06,-197,-0.00135,0.145,0.002
0.07,-197,-0.00135,0.145,0.002
0.08,-197,-0.0012,0.14,0.002
0.09,-197,-0.00135,0.145,0.002
0.1,-197,-0.0012,0.14,0.002
0.11,-197,-0.00135,0.14,0.002
0.12,-197,-0.00135,0.14,0.0025
0.13,-197,-0.00135,0.14,0.0025
0.14,-197,-0.00105,0.14,0.002
0.15,-197,-0.00135,0.14,0.002
0.16,-197,-0.0012,0.14,0.0025
0.17,-197,-0.0015,0.14,0.0025
0.18,-197,-0.0012,0.14,0.002
0.19,-197,-0.00135,0.14,0.002
0.2,-197.5,-0.00105,0.145,0.002
0.21,-197,-0.00135,0.14,0.002
0.22,-197.5,-0.0012,0.14,0.002
0.23,-197,-0.0015,0.14,0.002
0.24,-197,-0.0012,0.14,0.002
0.25,-197,-0.00135,0.145,0.002
0.26,-197,-0.0012,0.145,0.002
0.27,-197,-0.00135,0.145,0.002
0.28,-197,-0.0012,0.16,0.0025
0.29,-197,-0.0015,0.17,0.003
0.3,-197,-0.0015,0.175,0.0025
0.31,-197,-0.0018,0.18,0.003
0.32,-197,-0.0015,0.19,0.003
0.33,-197,-0.0018,0.195,0.003
0.34,-197,-0.00165,0.2,0.003
0.35,-197,-0.0018,0.205,0.003
0.36,-197,-0.0018,0.21,0.0035
0.37,-197,-0.00195,0.215,0.0035
0.38,-197,-0.0018,0.22,0.0035
0.39,-197,-0.0021,0.23,0.0035
0.4,-197.5,-0.0018,0.235,0.0035
0.41,-197,-0.0021,0.24,0.004
0.42,-197,-0.0018,0.25,0.004
0.43,-197,-0.0024,0.25,0.004
0.44,-197,-0.0021,0.255,0.004
0.45,-197.5,-0.00225,0.26,0.004
0.46,-197,-0.00195,0.27,0.0045
0.47,-197,-0.00225,0.275,0.004
0.48,-197,-0.00195,0.28,0.0045
0.49,-197.5,-0.0024,0.29,0.0045
0.5,-197,-0.00225,0.3,0.0045
0.51,-197,-0.00255,0.31,0.005
0.52,-197,-0.0024,0.32,0.005
0.53,-197,-0.0027,0.325,0.005
0.54,-197,-0.00255,0.34,0.0055
0.55,-197,-0.0027,0.345,0.0055
0.56,-197,-0.0027,0.36,0.0055
0.57,-197,-0.003,0.36,0.006
0.58,-197,-0.00285,0.375,0.006
0.59,-197,-0.003,0.385,0.006
0.6,-197,-0.003,0.395,0.0065
0.61,-197.5,-0.00315,0.405,0.0065
0.62,-197,-0.003,0.415,0.007
0.63,-197,-0.0033,0.425,0.007
0.64,-197,-0.00315,0.435,0.007
0.65,-197,-0.0036,0.445,0.007
0.66,-197,-0.00345,0.455,0.0075
0.67,-197,-0.0036,0.465,0.0075
0.68,-197,-0.0036,0.475,0.008
0.69,-197,-0.00375,0.48,0.008
0.7,-197,-0.00345,0.49,0.008
0.71,-197,-0.0039,0.495,0.008
0.72,-197,-0.0036,0.5,0.008
0.73,-197,-0.0039,0.515,0.0085
0.74,-197,-0.0039,0.52,0.0085
0.75,-197,-0.00405,0.525,0.0085
0.76,-197.5,-0.0039,0.535,0.009
0.77,-197,-0.0039,0.545,0.009
0.78,-197,-0.00405,0.55,0.009
0.79,-197,-0.00435,0.56,0.0095
0.8,-197.5,-0.00405,0.565,0.0095
0.81,-197,-0.00435,0.575,0.0095
0.82,-197,-0.0042,0.585,0.0095
0.83,-197,-0.00465,0.6,0.01
0.84,-197,-0.00435,0.605,0.01
0.85,-197,-0.00465,0.61,0.01
0.86,-197.5,-0.0045,0.625,0.01
0.87,-197,-0.00465,0.63,0.01
0.88,-197,-0.0045,0.64,0.0105
0.89,-197,-0.0048,0.65,0.0105
0.9,-197,-0.00465,0.655,0.0105
0.91,-197,-0.00495,0.66,0.011
0.92,-197,-0.0048,0.67,0.011
0.93,-197,-0.0051,0.68,0.011
0.94,-197.5,-0.0048,0.685,0.0115
0.95,-197,-0.0051,0.695,0.0115
0.96,-197,-0.00495,0.7,0.0115
0.97,-197,-0.0054,0.71,0.0115
0.98,-197,-0.00495,0.72,0.012
0.99,-197,-0.00525,0.72,0.012
1,-197,-0.00525,0.73,0.012
1.01,-197,-0.0054,0.73,0.012
1.02,-197,-0.00525,0.74,0.012
1.03,-197,-0.00555,0.75,0.012
1.04,-197,-0.00525,0.75,0.0125
1.05,-197,-0.00555,0.76,0.0125
1.06,-197,-0.0054,0.765,0.0125
1.07,-197,-0.0057,0.775,0.013
1.08,-197,-0.00555,0.78,0.013
1.09,-197,-0.00585,0.785,0.013
1.1,-197,-0.0054,0.795,0.013
1.11,-197,-0.00585,0.8,0.013
1.12,-197,-0.0057,0.8,0.013
1.13,-197,-0.006,0.805,0.0135
1.14,-197,-0.0057,0.81,0.0135
1.15,-197,-0.006,0.82,0.0135
1.16,-197.5,-0.0057,0.825,0.0135
1.17,-197,-0.00615,0.835,0.0135
1.18,-197.5,-0.006,0.845,0.014
1.19,-197,-0.0063,0.855,0.014
1.2,-197,-0.006,0.86,0.0145
1.21,-197,-0.00645,0.87,0.014
1.22,-197,-0.00615,0.88,0.0145
1.23,-197,-0.00645,0.88,0.0145
1.24,-197,-0.00615,0.895,0.0145
1.25,-197,-0.0066,0.905,0.015
1.26,-197,-0.0063,0.91,0.015
1.27,-197,-0.00675,0.915,0.015
1.28,-197,-0.00645,0.93,0.0155
1.29,-197,-0.00705,0.94,0.0155
1.3,-197,-0.0066,0.945,0.0155
1.31,-197.5,-0.0069,0.95,0.0155
1.32,-197.5,-0.0066,0.955,0.0155
1.33,-197,-0.0072,0.96,0.016
1.34,-197,-0.00675,0.975,0.016
1.35,-197,-0.0072,0.98,0.016
1.36,-197.5,-0.0069,0.985,0.016
1.37,-197,-0.00735,0.995,0.0165
1.38,-197,-0.0069,1.015,0.0165
1.39,-197,-0.0075,1.02,0.0165
1.4,-197,-0.00705,1.025,0.0165
1.41,-197,-0.0075,1.035,0.017
1.42,-197,-0.0072,1.045,0.017
1.43,-197,-0.00765,1.05,0.017
1.44,-197,-0.0072,1.055,0.017
1.45,-197.5,-0.0078,1.06,0.0175
1.46,-197,-0.0072,1.065,0.0175
1.47,-197,-0.0078,1.075,0.0175
1.48,-197,-0.00735,1.075,0.0175
1.49,-197,-0.00795,1.08,0.0175
1.5,-197,-0.0075,1.08,0.0175
1.51,-197,-0.0078,1.08,0.0175
1.52,-197,-0.0075,1.08,0.0175
1.53,-197,-0.0078,1.08,0.0175
1.54,-197.5,-0.0075,1.08,0.0175
1.55,-197,-0.00795,1.08,0.0175
1.56,-197,-0.0075,1.085,0.0175
1.57,-197,-0.00795,1.085,0.0175
1.58,-197.5,-0.0075,1.085,0.0175
1.59,-197,-0.00795,1.09,0.018
1.6,-197,-0.00765,1.1,0.018
1.61,-197,-0.00795,1.1,0.018
1.62,-197,-0.00765,1.11,0.018
1.63,-197,-0.0081,1.115,0.018
1.64,-197,-0.0078,1.12,0.018
1.65,-197,-0.00795,1.125,0.0185
1.66,-197,-0.0078,1.13,0.0185
1.67,-197,-0.00825,1.14,0.019
1.68,-197,-0.0081,1.15,0.019
1.69,-197,-0.0084,1.155,0.019
1.7,-197,-0.0081,1.16,0.019
1.71,-197,-0.0084,1.17,0.019
1.72,-197,-0.00825,1.18,0.019
1.73,-197,-0.00855,1.18,0.0195
1.74,-197,-0.00825,1.19,0.0195
1.75,-197,-0.0087,1.2,0.0195
1.76,-197,-0.00825,1.195,0.0195
1.77,-197,-0.0087,1.205,0.02
1.78,-197,-0.0084,1.215,0.02
1.79,-197,-0.00885,1.23,0.02
1.8,-197.5,-0.00855,1.235,0.02
1.81,-197,-0.00885,1.24,0.0205
1.82,-197,-0.0087,1.25,0.0205
1.83,-197,-0.009,1.26,0.0205
1.84,-197,-0.00885,1.265,0.0205
1.85,-197,-0.00915,1.27,0.021
1.86,-197.5,-0.00885,1.275,0.0205
1.87,-197,-0.00915,1.285,0.021
1.88,-197.5,-0.00885,1.29,0.021
1.89,-197,-0.0093,1.3,0.0215
1.9,-197,-0.00915,1.315,0.0215
1.91,-197,-0.00945,1.32,0.0215
1.92,-197,-0.00915,1.325,0.0215
1.93,-197,-0.00945,1.325,0.022
1.94,-197,-0.00915,1.33,0.022
1.95,-197,-0.00945,1.33,0.0215
1.96,-197.5,-0.0093,1.33,0.0215
1.97,-197,-0.00945,1.33,0.022
1.98,-197,-0.00915,1.34,0.022
1.99,-197,-0.0096,1.34,0.022
2,-197,-0.00915,1.35,0.022
2.01,-197,-0.0096,1.355,0.022
2.02,-197,-0.00945,1.36,0.022
2.03,-197,-0.00975,1.365,0.0225
2.04,-197,-0.00945,1.375,0.0225
2.05,-197,-0.00975,1.375,0.0225
2.06,-197,-0.0093,1.38,0.0225
2.07,-197,-0.0099,1.385,0.0225
2.08,-197,-0.00945,1.395,0.023
2.09,-197,-0.0099,1.4,0.023
2.1,-197,-0.00975,1.41,0.023
2.11,-197,-0.01005,1.415,0.0235
2.12,-197,-0.00975,1.425,0.0235
2.13,-197,-0.01035,1.43,0.0235
2.14,-197.5,-0.0099,1.445,0.0235
2.15,-197,-0.01035,1.455,0.0235
2.16,-197,-0.01005,1.455,0.024
2.17,-197,-0.0105,1.47,0.024
2.18,-197,-0.0102,1.48,0.0245
2.19,-197,-0.01065,1.49,0.0245
2.2,-197,-0.01035,1.5,0.0245
2.21,-197,-0.0108,1.515,0.025
2.22,-197.5,-0.0105,1.525,0.025
2.23,-197,-0.01095,1.535,0.025
2.24,-197,-0.0105,1.555,0.0255
2.25,-197,-0.0111,1.56,0.0255
2.26,-197.5,-0.01065,1.565,0.0255
2.27,-197,-0.01125,1.575,0.0255
2.28,-197.5,-0.0108,1.58,0.026
2.29,-197,-0.0114,1.59,0.026
2.3,-197.5,-0.01095,1.6,0.0265
2.31,-197,-0.0114,1.61,0.0265
2.32,-197,-0.0111,1.62,0.0265
2.33,-197,-0.01155,1.63,0.0265
2.34,-197,-0.01125,1.645,0.027
2.35,-197,-0.0117,1.655,0.027
2.36,-197.5,-0.0114,1.67,0.0275
2.37,-197,-0.01185,1.675,0.0275
2.38,-197,-0.0117,1.69,0.0275
2.39,-197,-0.01215,1.7,0.028
2.4,-197,-0.0117,1.71,0.028
